"term","e_tiv","educ","visit","age","cdr","mmse","n_wbv","ses","asf"
"e_tiv",NA,0.267932529456295,0.128744613676822,0.0401823023551604,0.0523614759862873,-0.0194386035406426,-0.206668210694834,-0.261575017734385,-0.989029949275359
"educ",0.267932529456295,NA,0.0135741039177973,-0.0249769580892158,-0.129439559104668,0.184458843841528,-0.0198223946578545,-0.722647277790981,-0.251677314947102
"visit",0.128744613676822,0.0135741039177973,NA,0.186305985271443,-0.0155441777205695,-0.0290313100709918,-0.123452519211559,-0.0516220003010431,-0.133896607611538
"age",0.0401823023551604,-0.0249769580892158,0.186305985271443,NA,-0.0227585267373783,0.0558795536265773,-0.526316448090739,-0.0468567132728815,-0.0317825751180477
"cdr",0.0523614759862873,-0.129439559104668,-0.0155441777205695,-0.0227585267373783,NA,-0.705961721336184,-0.35008571108099,0.0761599839638659,-0.063412977094723
"mmse",-0.0194386035406426,0.184458843841528,-0.0290313100709918,0.0558795536265773,-0.705961721336184,NA,0.341381021546365,-0.149218707246621,0.0277446860920342
"n_wbv",-0.206668210694834,-0.0198223946578545,-0.123452519211559,-0.526316448090739,-0.35008571108099,0.341381021546365,NA,0.0900952305035471,0.211149737247129
"ses",-0.261575017734385,-0.722647277790981,-0.0516220003010431,-0.0468567132728815,0.0761599839638659,-0.149218707246621,0.0900952305035471,NA,0.255576433102805
"asf",-0.989029949275359,-0.251677314947102,-0.133896607611538,-0.0317825751180477,-0.063412977094723,0.0277446860920342,0.211149737247129,0.255576433102805,NA
